Date,Tweet,Close.
2013-02-19,"Obama: ""Emergency responders like the ones hereâ€”their ability to help communities respond to and recover from disasters will be degraded.""","1,530.94"
2013-02-19,"President Obama: ""If Congress allows this meat cleaver approach to take place it will jeopardize our military readiness.""","1,530.94"
2013-02-19,"Obama: ""10 days from now Congress might allow a series of automatic severe budget cuts to take place that will do the exact opposite.""","1,530.94"
2013-02-19,"President Obama: ""Our top priority must be to do everything we can to grow the economy and create good middle-class jobs."" #JobsNow","1,530.94"
2013-02-19,Watch live: President Obama urges Congress to avert harmful budget cuts that would threaten our economy.http://wh.gov/liveÂ ,"1,530.94"
2013-02-18,Happy Presidents' Day!pic.twitter.com/CnSkCqXv,
2013-02-18,If you've seen how gun violence can rip apart a community share your story to show Congress #NowIsTheTime to act: http://OFA.BO/N6RVJCÂ ,
2013-02-18,Your story will inspire others to speak out. Tell Congress why #NowIsTheTime to reduce gun violence: http://OFA.BO/o7kZoGÂ ,
2013-02-18,Find out how you can help reduce gun violence and protect our kidsâ€”then RT so your friends can too: http://OFA.BO/oon8rNÂ  #NowIsTheTime,
2013-02-17,Our North Star:pic.twitter.com/btfaA1UV,
2013-02-16,America only moves forward when we do so togetherâ€”when we accept certain obligations to one another.http://OFA.BO/NmaATnÂ ,
2013-02-15,I spy...pic.twitter.com/5KEpqgbA,"1,519.79"
2013-02-15,â€œWe may not be able to help everybody but if we help a few then that propels progress forward.â€ â€”President Obama,"1,519.79"
2013-02-15,President Obama on the importance of preschool: â€œEvery dollar we spend on early childhood education will save $7 down the road.â€,"1,519.79"
2013-02-15,"President Obama: â€œLetâ€™s give every child across America access to high-quality public preschool.""","1,519.79"
2013-02-15,President Obama in Chicago: â€œThis is where Michelle and I met; where we fell in love. This is where we raised our daughters.â€,"1,519.79"
2013-02-15,Happening now: President Obama speaks in Chicago about his plan to strengthen the economy for the middle class. http://OFA.BO/BDarFwÂ ,"1,519.79"
2013-02-15,RT if you agree: It's time for Congress to work with the President and ensure that hard work leads to a decent living for every American.,"1,519.79"
2013-02-15,FACT: The President's plan calls on Congress to raise the minimum wage for tipped workersâ€”which hasn't been increased in more than 20 years.,"1,519.79"
2013-02-15,FACT: Obama's plan would tie the minimum wage to inflation so working families can keep up with rising costs over time.,"1,519.79"
2013-02-15,FACT: For the average family earning $20000 to $30000 raising the minimum wage would cover a year of groceries or 6 months of housing.,"1,519.79"
2013-02-15,FACT: President Obama's plan rewards hard work by raising the minimum wage to $9 an hourâ€”directly boosting wages for 15 million workers.,"1,519.79"
2013-02-15,If you're willing to work hard and play by the rules President Obama will never stop fighting for you:pic.twitter.com/JdCjfLiy,"1,519.79"
2013-02-15,Our engine of economic growth: Strengthening the middle class. Share Obama's plan to keep us moving forward:pic.twitter.com/0Kfa7Ens,"1,519.79"
2013-02-14,Happy Valentine's Day!pic.twitter.com/iC98vmOt,"1,521.38"
2013-02-14,Happening now: President Obama joins a #FiresideHangout live from the White House. http://OFA.BO/Y61vHwÂ ,"1,521.38"
2013-02-14,RT if you agree: Nobody who works full-time should have to live in poverty. It's time to raise the minimum wage to $9 an hour. #LivingWage,"1,521.38"
2013-02-14,President Obama's plan would raise the minimum wage to $9 an hour so an honest day's work pays more for 15 million Americans. #LivingWage,"1,521.38"
2013-02-14,President Obama: â€œIn the end thatâ€™s what this is all about: Giving our kids the best possible shot at life.â€,"1,521.38"
2013-02-14,â€œHope is found in what works. This works. If youâ€™re looking for a good bang for your educational buckâ€”this is it.â€ â€”Obama on expanding Pre-K,"1,521.38"
2013-02-14,"President Obama: ""Every dollar we invest in high-quality early education can save more than $7 later on.""","1,521.38"
2013-02-14,"President Obama on the importance of preschool: ""Education has to start at the earliest possible age.""","1,521.38"
2013-02-14,Watch live: President Obama speaks in Georgia about his plan to expand early childhood education.http://wh.gov/liveÂ ,"1,521.38"
2013-02-14,RT if you agree: It's time for Congress to work with the President to ensure that America makes things the rest of the world buys. #JobsNow,"1,521.38"
